2023-07-28 15:52:00,500 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Configure stats pid to 24430
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Loading settings from /Users/lee/.config/wandb/settings
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Loading settings from /Users/lee/kdt-ai-course/finalProject/AIInfra/new_feature/wandb/settings
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'wandb_test', 'entity': 'aivengersteam', 'root_dir': '/Users/lee/kdt-ai-course/finalProject/AIInfra/new_feature', 'sweep_id': '8dfmkyq5', 'run_id': 'bk7u5ubv', 'sweep_param_path': '/Users/lee/kdt-ai-course/finalProject/AIInfra/new_feature/wandb/sweep-8dfmkyq5/config-bk7u5ubv.yaml'}
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_init.py:_log_setup():507] Logging user logs to /Users/lee/kdt-ai-course/finalProject/AIInfra/new_feature/wandb/run-20230728_155200-bk7u5ubv/logs/debug.log
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/lee/kdt-ai-course/finalProject/AIInfra/new_feature/wandb/run-20230728_155200-bk7u5ubv/logs/debug-internal.log
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():547] calling init triggers
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 64, 'type': 'small'}
config: {}
2023-07-28 15:52:00,501 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():571] re-initializing run, found existing run on stack: bk7u5ubv
2023-07-28 15:52:00,502 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_finish():1887] finishing run aivengersteam/wandb_test/bk7u5ubv
2023-07-28 15:52:00,502 INFO    Thread-5 (_run_job):24430 [jupyter.py:save_history():445] not saving jupyter history
2023-07-28 15:52:00,502 INFO    Thread-5 (_run_job):24430 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-07-28 15:52:00,502 INFO    Thread-5 (_run_job):24430 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-07-28 15:52:00,502 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_atexit_cleanup():2121] got exitcode: 0
2023-07-28 15:52:00,503 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_restore():2104] restore
2023-07-28 15:52:00,503 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_restore():2110] restore done
2023-07-28 15:52:05,358 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_footer_history_summary_info():3464] rendering history
2023-07-28 15:52:05,358 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_footer_history_summary_info():3496] rendering summary
2023-07-28 15:52:05,362 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_footer_sync_info():3423] logging synced files
2023-07-28 15:52:05,436 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():596] starting backend
2023-07-28 15:52:05,436 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():600] setting up manager
2023-07-28 15:52:05,440 INFO    Thread-5 (_run_job):24430 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-28 15:52:05,443 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():606] backend started and connected
2023-07-28 15:52:05,446 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_config_callback():1281] config_cb None None {'batch_size': 64, 'type': 'small'}
2023-07-28 15:52:05,449 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_label_probe_notebook():1233] probe notebook
2023-07-28 15:52:05,449 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_label_probe_notebook():1243] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-07-28 15:52:05,449 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():705] updated telemetry
2023-07-28 15:52:05,468 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2023-07-28 15:52:06,898 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_on_init():2173] communicating current version
2023-07-28 15:52:06,947 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_on_init():2182] got version response upgrade_message: "wandb version 0.15.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-07-28 15:52:06,948 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():789] starting run threads in backend
2023-07-28 15:52:09,396 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_console_start():2152] atexit reg
2023-07-28 15:52:09,397 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_redirect():2007] redirect: SettingsConsole.WRAP_RAW
2023-07-28 15:52:09,397 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_redirect():2072] Wrapping output streams.
2023-07-28 15:52:09,397 INFO    Thread-5 (_run_job):24430 [wandb_run.py:_redirect():2097] Redirects installed.
2023-07-28 15:52:09,397 INFO    Thread-5 (_run_job):24430 [wandb_init.py:init():830] run started, returning control to user process
